Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
0000-0020;51.49586 ;118.02564;760 m;Flag, Green;;;;;;;;;;;;;;
0020-0020;51.49660 ;118.02772;758 m;Flag, Green;;;;;;;;;;;;;;
0020-0040;51.49606 ;118.02925;760 m;Flag, Green;;;;;;;;;;;;;;
0020-0060;51.49507 ;118.03204;765 m;Flag, Green;;;;;;;;;;;;;;
0020-0080;51.49369 ;118.03416;771 m;Flag, Red;;;;;;;;;;;;;;
0020-0100;51.49333 ;118.03728;778 m;Flag, Red;;;;;;;;;;;;;;
0020-0120;51.49282 ;118.03929;799 m;Flag, Red;;;;;;;;;;;;;;
0020-0140;51.49137 ;118.04181;791 m;Flag, Red;;;;;;;;;;;;;;
0020-0160;51.49048 ;118.04432;775 m;Flag, Red;;;;;;;;;;;;;;
0020-0180;51.48979 ;118.04603;769 m;Flag, Green;;;;;;;;;;;;;;
0020-0200;51.48897 ;118.04947;767 m;Flag, Green;;;;;;;;;;;;;;
0020-0220;51.48745 ;118.05239;777 m;Flag, Green;;;;;;;;;;;;;;
0020-0240;51.48683 ;118.05387;786 m;Flag, Red;;;;;;;;;;;;;;
0020-0260;51.48586 ;118.05654;808 m;Flag, Red;;;;;;;;;;;;;;
0020-0280;51.48482 ;118.05905;833 m;Flag, Red;;;;;;;;;;;;;;
0020-0300;51.48403 ;118.06169;844 m;Flag, Red;;;;;;;;;;;;;;
0020-0320;51.48306 ;118.06400;817 m;Flag, Red;;;;;;;;;;;;;;
0020-0340;51.48219 ;118.06641;790 m;Flag, Red;;;;;;;;;;;;;;
0020-0360;51.48102 ;118.06897;779 m;Flag, Red;;;;;;;;;;;;;;
0020-0380;51.48048 ;118.07122;770 m;Flag, Red;;;;;;;;;;;;;;
0020-0400;51.47950 ;118.07365;762 m;Flag, Red;;;;;;;;;;;;;;
0020-0420;51.47889 ;118.07642;755 m;Flag, Green;;;;;;;;;;;;;;
0020-0440;51.47735 ;118.07995;746 m;Flag, Green;;;;;;;;;;;;;;
0020-0460;51.47679 ;118.08102;746 m;Flag, Green;;;;;;;;;;;;;;
0020-0480;51.47579 ;118.08431;747 m;Flag, Green;;;;;;;;;;;;;;
0020-0500;51.47487 ;118.08630;756 m;Flag, Green;;;;;;;;;;;;;;
