NN;nnNZ;nnSample;Sample;NZ_id;йНПНАЙЮ;цНД;йНД;оп;ой;йПЮР_оп;йПЮР_ой;<1520;дСАКЭ;кХВ. йНД;оп2;ой2;
485;485;1;DG66-1740-0460;DG01M;1;2021;1740-0460;1740;460;хярхмю;хярхмю;+;кнфэ;;1740;0460;
486;486;2;DG66-1640-0700;DG01M;1;2021;1640-0700;1640;700;хярхмю;хярхмю;+;кнфэ;;1640;0700;
487;487;3;DG66-1700-1240;DG01M;1;2021;1700-1240;1700;1240;хярхмю;хярхмю;+;кнфэ;;1700;1240;
488;488;4;DG66-1680-1200;DG01M;1;2021;1680-1200;1680;1200;хярхмю;хярхмю;+;кнфэ;;1680;1200;
489;489;5;DG66-1760-1300;DG01M;1;2021;1760-1300;1760;1300;хярхмю;хярхмю;+;кнфэ;;1760;1300;
490;490;6;DG66-1740-1180;DG01M;1;2021;1740-1180;1740;1180;хярхмю;хярхмю;+;кнфэ;;1740;1180;
491;491;7;DG66-1720-0560;DG01M;1;2021;1720-0560;1720;560;хярхмю;хярхмю;+;кнфэ;;1720;0560;
492;492;8;DG66-1660-0780;DG01M;1;2021;1660-0780;1660;780;хярхмю;хярхмю;+;кнфэ;;1660;0780;
493;493;9;DG66-1800-1280;DG01M;1;2021;1800-1280;1800;1280;хярхмю;хярхмю;+;кнфэ;;1800;1280;
494;494;10;DG66-1740-1260;DG01M;1;2021;1740-1260;1740;1260;хярхмю;хярхмю;+;кнфэ;;1740;1260;
495;495;11;DG66-1700-1220;DG01M;1;2021;1700-1220;1700;1220;хярхмю;хярхмю;+;кнфэ;;1700;1220;
496;496;12;DG66-1620-0540;DG01M;1;2021;1620-0540;1620;540;хярхмю;хярхмю;+;кнфэ;;1620;0540;
497;497;13;DG66-1820-1300;DG01M;1;2021;1820-1300;1820;1300;хярхмю;хярхмю;+;кнфэ;;1820;1300;
498;498;14;DG66-1740-0480;DG01M;1;2021;1740-0480;1740;480;хярхмю;хярхмю;+;кнфэ;;1740;0480;
499;499;15;DG66-1720-0700;DG01M;1;2021;1720-0700;1720;700;хярхмю;хярхмю;+;кнфэ;;1720;0700;
500;500;16;DG66-1760-0480;DG01M;1;2021;1760-0480;1760;480;хярхмю;хярхмю;+;кнфэ;;1760;0480;
501;501;17;DG66-1700-1200;DG01M;1;2021;1700-1200;1700;1200;хярхмю;хярхмю;+;кнфэ;;1700;1200;
502;502;18;DG66-1620-0580;DG01M;1;2021;1620-0580;1620;580;хярхмю;хярхмю;+;кнфэ;;1620;0580;
503;503;19;DG66-1680-1280;DG01M;1;2021;1680-1280;1680;1280;хярхмю;хярхмю;+;кнфэ;;1680;1280;
504;504;20;DG66-1640-0620;DG01M;1;2021;1640-0620;1640;620;хярхмю;хярхмю;+;кнфэ;;1640;0620;
505;505;21;DG66-1740-0660;DG01M;1;2021;1740-0660;1740;660;хярхмю;хярхмю;+;кнфэ;;1740;0660;
506;506;22;DG66-1780-1300;DG01M;1;2021;1780-1300;1780;1300;хярхмю;хярхмю;+;кнфэ;;1780;1300;
507;507;23;DG66-1620-0680;DG01M;1;2021;1620-0680;1620;680;хярхмю;хярхмю;+;кнфэ;;1620;0680;
508;508;24;DG66-1720-0680;DG01M;1;2021;1720-0680;1720;680;хярхмю;хярхмю;+;кнфэ;;1720;0680;
509;509;25;DG66-1640-0800;DG01M;1;2021;1640-0800;1640;800;хярхмю;хярхмю;+;кнфэ;;1640;0800;
510;510;26;DG66-1800-1300;DG01M;1;2021;1800-1300;1800;1300;хярхмю;хярхмю;+;кнфэ;;1800;1300;
511;511;27;DG66-1740-0680;DG01M;1;2021;1740-0680;1740;680;хярхмю;хярхмю;+;кнфэ;;1740;0680;
512;512;28;DG66-1700-0600;DG01M;1;2021;1700-0600;1700;600;хярхмю;хярхмю;+;кнфэ;;1700;0600;
513;513;29;DG66-1660-0760;DG01M;1;2021;1660-0760;1660;760;хярхмю;хярхмю;+;кнфэ;;1660;0760;
514;514;30;DG66-1740-1200;DG01M;1;2021;1740-1200;1740;1200;хярхмю;хярхмю;+;кнфэ;;1740;1200;
515;515;31;DG66-1700-0720;DG01M;1;2021;1700-0720;1700;720;хярхмю;хярхмю;+;кнфэ;;1700;0720;
516;516;32;DG66-1620-0840;DG01M;1;2021;1620-0840;1620;840;хярхмю;хярхмю;+;кнфэ;;1620;0840;
517;517;33;DG66-1760-1280;DG01M;1;2021;1760-1280;1760;1280;хярхмю;хярхмю;+;кнфэ;;1760;1280;
518;518;34;DG66-1700-1180;DG01M;1;2021;1700-1180;1700;1180;хярхмю;хярхмю;+;кнфэ;;1700;1180;
519;519;35;DG66-1620-0700;DG01M;1;2021;1620-0700;1620;700;хярхмю;хярхмю;+;кнфэ;;1620;0700;
520;520;36;DG66-1740-1280;DG01M;1;2021;1740-1280;1740;1280;хярхмю;хярхмю;+;кнфэ;;1740;1280;
521;521;37;DG66-1620-0780;DG01M;1;2021;1620-0780;1620;780;хярхмю;хярхмю;+;кнфэ;;1620;0780;
522;522;38;DG66-1760-1260;DG01M;1;2021;1760-1260;1760;1260;хярхмю;хярхмю;+;кнфэ;;1760;1260;
523;523;39;DG66-1620-0660;DG01M;1;2021;1620-0660;1620;660;хярхмю;хярхмю;+;кнфэ;;1620;0660;
524;524;40;DG66-1720-0640;DG01M;1;2021;1720-0640;1720;640;хярхмю;хярхмю;+;кнфэ;;1720;0640;
525;525;41;DG66-1640-0740;DG01M;1;2021;1640-0740;1640;740;хярхмю;хярхмю;+;кнфэ;;1640;0740;
526;526;42;DG66-1780-1280;DG01M;1;2021;1780-1280;1780;1280;хярхмю;хярхмю;+;кнфэ;;1780;1280;
527;527;43;DG66-1740-0520;DG01M;1;2021;1740-0520;1740;520;хярхмю;хярхмю;+;кнфэ;;1740;0520;
528;528;44;DG66-1700-0580;DG01M;1;2021;1700-0580;1700;580;хярхмю;хярхмю;+;кнфэ;;1700;0580;
529;529;45;DG66-1820-1280;DG01M;1;2021;1820-1280;1820;1280;хярхмю;хярхмю;+;кнфэ;;1820;1280;
530;530;46;DG66-1700-1260;DG01M;1;2021;1700-1260;1700;1260;хярхмю;хярхмю;+;кнфэ;;1700;1260;
531;531;47;DG66-1740-0640;DG01M;1;2021;1740-0640;1740;640;хярхмю;хярхмю;+;кнфэ;;1740;0640;
532;532;48;DG66-1620-0620;DG01M;1;2021;1620-0620;1620;620;хярхмю;хярхмю;+;кнфэ;;1620;0620;
533;533;49;DG66-1720-1240;DG01M;1;2021;1720-1240;1720;1240;хярхмю;хярхмю;+;кнфэ;;1720;1240;
534;534;50;DG66-1720-0540;DG01M;1;2021;1720-0540;1720;540;хярхмю;хярхмю;+;кнфэ;;1720;0540;
535;535;1;DG66-1680-0700;DG01M;2;2021;1680-0700;1680;700;хярхмю;хярхмю;+;кнфэ;;1680;0700;
536;536;2;DG66-1700-0680;DG01M;2;2021;1700-0680;1700;680;хярхмю;хярхмю;+;кнфэ;;1700;0680;
537;537;3;DG66-1640-0520;DG01M;2;2021;1640-0520;1640;520;хярхмю;хярхмю;+;кнфэ;;1640;0520;
538;538;4;DG66-1680-0660;DG01M;2;2021;1680-0660;1680;660;хярхмю;хярхмю;+;кнфэ;;1680;0660;
539;539;5;DG66-1720-0480;DG01M;2;2021;1720-0480;1720;480;хярхмю;хярхмю;+;кнфэ;;1720;0480;
540;540;6;DG66-1620-0560;DG01M;2;2021;1620-0560;1620;560;хярхмю;хярхмю;+;кнфэ;;1620;0560;
541;541;7;DG66-1680-0740;DG01M;2;2021;1680-0740;1680;740;хярхмю;хярхмю;+;кнфэ;;1680;0740;
542;542;8;DG66-1660-0540;DG01M;2;2021;1660-0540;1660;540;хярхмю;хярхмю;+;кнфэ;;1660;0540;
543;543;9;DG66-1680-1240;DG01M;2;2021;1680-1240;1680;1240;хярхмю;хярхмю;+;кнфэ;;1680;1240;
544;544;10;DG66-1720-0500;DG01M;2;2021;1720-0500;1720;500;хярхмю;хярхмю;+;кнфэ;;1720;0500;
545;545;11;DG66-1640-0540;DG01M;2;2021;1640-0540;1640;540;хярхмю;хярхмю;+;кнфэ;;1640;0540;
546;546;12;DG66-1680-1180;DG01M;2;2021;1680-1180;1680;1180;хярхмю;хярхмю;+;кнфэ;;1680;1180;
547;547;13;DG66-1700-0700;DG01M;2;2021;1700-0700;1700;700;хярхмю;хярхмю;+;кнфэ;;1700;0700;
548;548;14;DG66-1620-0820;DG01M;2;2021;1620-0820;1620;820;хярхмю;хярхмю;+;кнфэ;;1620;0820;
549;549;15;DG66-1680-0540;DG01M;2;2021;1680-0540;1680;540;хярхмю;хярхмю;+;кнфэ;;1680;0540;
550;550;16;DG66-1660-0620;DG01M;2;2021;1660-0620;1660;620;хярхмю;хярхмю;+;кнфэ;;1660;0620;
551;551;17;DG66-1700-0500;DG01M;2;2021;1700-0500;1700;500;хярхмю;хярхмю;+;кнфэ;;1700;0500;
552;552;18;DG66-1640-0640;DG01M;2;2021;1640-0640;1640;640;хярхмю;хярхмю;+;кнфэ;;1640;0640;
553;553;19;DG66-1660-1220;DG01M;2;2021;1660-1220;1660;1220;хярхмю;хярхмю;+;кнфэ;;1660;1220;
554;554;20;DG66-1680-0680;DG01M;2;2021;1680-0680;1680;680;хярхмю;хярхмю;+;кнфэ;;1680;0680;
555;555;21;DG66-1700-0540;DG01M;2;2021;1700-0540;1700;540;хярхмю;хярхмю;+;кнфэ;;1700;0540;
556;556;22;DG66-1620-0760;DG01M;2;2021;1620-0760;1620;760;хярхмю;хярхмю;+;кнфэ;;1620;0760;
557;557;23;DG66-1680-1260;DG01M;2;2021;1680-1260;1680;1260;хярхмю;хярхмю;+;кнфэ;;1680;1260;
558;558;24;DG66-1660-0680;DG01M;2;2021;1660-0680;1660;680;хярхмю;хярхмю;+;кнфэ;;1660;0680;
559;559;25;DG66-1700-0640;DG01M;2;2021;1700-0640;1700;640;хярхмю;хярхмю;+;кнфэ;;1700;0640;
560;560;26;DG66-1640-0660;DG01M;2;2021;1640-0660;1640;660;хярхмю;хярхмю;+;кнфэ;;1640;0660;
561;561;27;DG66-1680-0760;DG01M;2;2021;1680-0760;1680;760;хярхмю;хярхмю;+;кнфэ;;1680;0760;
562;562;28;DG66-1660-0740;DG01M;2;2021;1660-0740;1660;740;хярхмю;хярхмю;+;кнфэ;;1660;0740;
563;563;29;DG66-1680-0720;DG01M;2;2021;1680-0720;1680;720;хярхмю;хярхмю;+;кнфэ;;1680;0720;
564;564;30;DG66-1640-0820;DG01M;2;2021;1640-0820;1640;820;хярхмю;хярхмю;+;кнфэ;;1640;0820;
565;565;31;DG66-1720-1260;DG01M;2;2021;1720-1260;1720;1260;хярхмю;хярхмю;+;кнфэ;;1720;1260;
566;566;32;DG66-1620-0640;DG01M;2;2021;1620-0640;1620;640;хярхмю;хярхмю;+;кнфэ;;1620;0640;
567;567;33;DG66-1680-0640;DG01M;2;2021;1680-0640;1680;640;хярхмю;хярхмю;+;кнфэ;;1680;0640;
568;568;34;DG66-1700-0620;DG01M;2;2021;1700-0620;1700;620;хярхмю;хярхмю;+;кнфэ;;1700;0620;
569;569;35;DG66-1640-0560;DG01M;2;2021;1640-0560;1640;560;хярхмю;хярхмю;+;кнфэ;;1640;0560;
570;570;36;DG66-1620-0520;DG01M;2;2021;1620-0520;1620;520;хярхмю;хярхмю;+;кнфэ;;1620;0520;
571;571;37;DG66-1680-1220;DG01M;2;2021;1680-1220;1680;1220;хярхмю;хярхмю;+;кнфэ;;1680;1220;
572;572;38;DG66-1660-0560;DG01M;2;2021;1660-0560;1660;560;хярхмю;хярхмю;+;кнфэ;;1660;0560;
573;573;39;DG66-1640-0600;DG01M;2;2021;1640-0600;1640;600;хярхмю;хярхмю;+;кнфэ;;1640;0600;
574;574;40;DG66-1620-0600;DG01M;2;2021;1620-0600;1620;600;хярхмю;хярхмю;+;кнфэ;;1620;0600;
575;575;41;DG66-1740-1240;DG01M;2;2021;1740-1240;1740;1240;хярхмю;хярхмю;+;кнфэ;;1740;1240;
576;576;42;DG66-1680-0620;DG01M;2;2021;1680-0620;1680;620;хярхмю;хярхмю;+;кнфэ;;1680;0620;
577;577;43;DG66-1720-1280;DG01M;2;2021;1720-1280;1720;1280;хярхмю;хярхмю;+;кнфэ;;1720;1280;
578;578;44;DG66-1640-0580;DG01M;2;2021;1640-0580;1640;580;хярхмю;хярхмю;+;кнфэ;;1640;0580;
579;579;45;DG66-1680-0560;DG01M;2;2021;1680-0560;1680;560;хярхмю;хярхмю;+;кнфэ;;1680;0560;
580;580;46;DG66-1700-0560;DG01M;2;2021;1700-0560;1700;560;хярхмю;хярхмю;+;кнфэ;;1700;0560;
581;581;47;DG66-1640-0780;DG01M;2;2021;1640-0780;1640;780;хярхмю;хярхмю;+;кнфэ;;1640;0780;
582;582;48;DG66-1700-0520;DG01M;2;2021;1700-0520;1700;520;хярхмю;хярхмю;+;кнфэ;;1700;0520;
583;583;49;DG66-1660-0580;DG01M;2;2021;1660-0580;1660;580;хярхмю;хярхмю;+;кнфэ;;1660;0580;
584;584;50;DG66-1680-0520;DG01M;2;2021;1680-0520;1680;520;хярхмю;хярхмю;+;кнфэ;;1680;0520;
585;585;1;DG66-1620-0800;DG01M;3;2021;1620-0800;1620;800;хярхмю;хярхмю;+;кнфэ;;1620;0800;
586;586;2;DG66-1580-0880;DG01M;3;2021;1580-0880;1580;880;хярхмю;хярхмю;+;кнфэ;;1580;0880;
587;587;3;DG66-1500-1300;DG01M;3;2021;1500-1300;1500;1300;хярхмю;хярхмю;+;кнфэ;;1500;1300;
588;588;4;DG66-1660-0520;DG01M;3;2021;1660-0520;1660;520;хярхмю;хярхмю;+;кнфэ;;1660;0520;
589;589;5;DG66-1500-1320;DG01M;3;2021;1500-1320;1500;1320;хярхмю;хярхмю;+;кнфэ;;1500;1320;
590;590;6;DG66-1540-1320;DG01M;3;2021;1540-1320;1540;1320;хярхмю;хярхмю;+;кнфэ;;1540;1320;
591;591;7;DG66-1600-0580;DG01M;3;2021;1600-0580;1600;580;хярхмю;хярхмю;+;кнфэ;;1600;0580;
