п/п;Бригада;Дата;Код;sample;Участок;Тип;ПР;ПК;H;D0;D1;D2;D3;D4;D5;L1;L2;L3;L4;Примечания;Крат_ПР;Крат_ПК;Дубль
1;Гришукин И. В.;06.06.2021;1760-1300;DG66-1760-1300;DG;66;1760;1300;0,4;B;4;5;3;2;2;3;5;1;0;Край населенного пункта;ИСТИНА;ИСТИНА;ЛОЖЬ
2;Гришукин И. В.;06.06.2021;1760-1260;DG66-1760-1260;DG;66;1760;1260;0,6;B;4;6-7;3;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
3;Гришукин И. В.;06.06.2021;1760-1200;DG06-1760-1200;DG;06;1760;1200;0,5;B;4;6-7;3;1;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
4;Гришукин И. В.;06.06.2021;1740-1200;DG66-1740-1200;DG;66;1740;1200;0,4;BG;3;6-7;4;1;3;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
5;Гришукин И. В.;06.06.2021;1740-1180;DG66-1740-1180;DG;66;1740;1180;0,6;BG;3;6-7;4;1;3;1;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
6;Гришукин И. В.;06.06.2021;1740-1160;DG06-1740-1160;DG;06;1740;1160;0,4;B;4;3;3;2;2;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
7;Гришукин И. В.;06.06.2021;1740-1140;DG06-1740-1140;DG;06;1740;1140;0,3;B;5;5;2;2;1;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
8;Гришукин И. В.;06.06.2021;1740-1120;DG06-1740-1120;DG;06;1740;1120;0,3;B;5;5;2;2;1;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
9;Гришукин И. В.;06.06.2021;1740-1100;DG06-1740-1100;DG;06;1740;1100;0,4;B;5;5;2;3;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
10;Гришукин И. В.;06.06.2021;1740-1080;DG06-1740-1080;DG;06;1740;1080;0,4;B;5;5;2;3;1;3;5;2;9-10;Преимущественно отдельные глыбы;ИСТИНА;ИСТИНА;ЛОЖЬ
11;Гришукин И. В.;06.06.2021;1740-1060;DG06-1740-1060;DG;06;1740;1060;0,4;B;5-6;4-5;2;3;1;3;5;2;9-10;Преимущественно отдельные глыбы;ИСТИНА;ИСТИНА;ЛОЖЬ
12;Гришукин И. В.;06.06.2021;1740-1040;DG06-1740-1040;DG;06;1740;1040;0,4;B;5;5;2;2;4;3;4;2;9-10;Преимущественно отдельные глыбы;ИСТИНА;ИСТИНА;ЛОЖЬ
13;Гришукин И. В.;06.06.2021;1740-1020;DG06-1740-1020;DG;06;1740;1020;0,3;B;5;6;2;2;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
14;Гришукин И. В.;06.06.2021;1740-1000;DG06-1740-1000;DG;06;1740;1000;0,3;B;5;6;2;2;3;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
15;Гришукин И. В.;06.06.2021;1740-0980;DG06-1740-0980;DG;06;1740;0980;0,5;B;3;7;4;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
16;Гришукин И. В.;06.06.2021;1740-1220;DG66-1740-1220;DG;66;1740;1220;0,6;B;4;6;2;1;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
17;Гришукин И. В.;06.06.2021;1740-1240;DG66-1740-1240;DG;66;1740;1240;0,6;B;4;6;3;1;3;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
18;Гришукин И. В.;06.06.2021;1740-1260;DG66-1740-1260;DG;66;1740;1260;0,7;BG;3;7;3;1;3;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
19;Гришукин И. В.;06.06.2021;1740-1280;DG66-1740-1280;DG;66;1740;1280;0,6;BG;4;6;3;1;3;1;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
20;Гришукин И. В.;06.06.2021;1740-1300;-1740-1300;;;1740;1300;;;;;;;;;;;;Проба не отбиралась, населённый пункт;ИСТИНА;ИСТИНА;ЛОЖЬ
21;Гришукин И. В.;06.06.2021;1740-1320;-1740-1320;;;1740;1320;;;;;;;;;;;;Проба не отбиралась, населённый пункт;ИСТИНА;ИСТИНА;ЛОЖЬ
22;Гришукин И. В.;06.07.2021;1780-0600;DG06-1780-0600;DG;06;1780;0600;0,3;B;5;5;1;3;2;3;4;1;0;Два мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
23;Гришукин И. В.;06.07.2021;1780-0620;DG06-1780-0620;DG;06;1780;0620;0,4;B;5;5;1;3;2;3;4;1;0;Два мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
24;Гришукин И. В.;06.07.2021;1780-0640;DG86-1780-0640;DG;86;1780;0640;0,4;B;5;5;2;3;1;3;5;1;0;Два мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
25;Гришукин И. В.;06.07.2021;1780-0660;DG06-1780-0660;DG;06;1780;0660;0,5;B;5;5;2;3;1;3;3;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
26;Гришукин И. В.;06.07.2021;1780-0680;DG06-1780-0680;DG;06;1780;0680;0,7;B;5;7;3;2;3;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
27;Гришукин И. В.;06.07.2021;1780-0700;DG06-1780-0700;DG;06;1780;0700;0,3;B;5;5;1;3;2;3;4;1;0;Два мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
28;Гришукин И. В.;06.07.2021;1780-0720;DG06-1780-0720;DG;06;1780;0720;0,3;B;5;5;3;2;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
29;Гришукин И. В.;06.07.2021;1780-0740;DG06-1780-0740;DG;06;1780;0740;0,5;B;5;5;2;2;1;3;4;1;0;Два мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
30;Гришукин И. В.;06.07.2021;1780-0760;DG06-1780-0760;DG;06;1780;0760;0,4;C;4;6;4;2;2;3;4;1;0;Два мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
31;Гришукин И. В.;06.07.2021;1780-0780;DG06-1780-0780;DG;06;1780;0780;0,4;C;5;5;2;4;1;3;4;3;9;Два мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
32;Гришукин И. В.;06.07.2021;1780-0800;DG06-1780-0800;DG;06;1780;0800;0,7;D;7;5;2;4;1;4;4;3;9;Четыре мешка;ИСТИНА;ИСТИНА;ЛОЖЬ
33;Гришукин И. В.;06.08.2021;1740-0840;DG06-1740-0840;DG;06;1740;0840;0,4;B;4;5;3;1;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
34;Гришукин И. В.;06.08.2021;1740-0820;DG06-1740-0820;DG;06;1740;0820;0,3;B;4;5;3;1;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
35;Гришукин И. В.;06.08.2021;1740-0800;DG06-1740-0800;DG;06;1740;0800;0,4;B;4;5;3;1;1;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
36;Гришукин И. В.;06.08.2021;1740-0780;DG06-1740-0780;DG;06;1740;0780;0,3;B;4;6;3;1;2;3;4;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
37;Гришукин И. В.;06.08.2021;1740-0760;DG06-1740-0760;DG;06;1740;0760;0,4;B;4;6;3;3;2;3;5;1;0;;ИСТИНА;ИСТИНА;ЛОЖЬ
